City_ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
350,5861897,Fairbanks,US,64.8378,-147.7164,-39.3,70,0,0.0
351,726629,Sungurlare,BG,42.7667,26.7833,37.56,71,0,1.99
352,537158,Laishevo,RU,55.4046,49.5504,21.42,92,100,14.47
353,1067565,Beloha,MG,-25.1667,45.05,69.67,84,71,12.06
354,3694112,Paita,PE,-5.0892,-81.1144,69.96,84,33,9.13
355,4163318,Mango,US,27.9797,-82.3065,60.91,88,100,5.01
356,4903818,North Aurora,US,41.8061,-88.3273,29.62,83,100,5.99
357,3836277,Santa Fe,AR,-31.6333,-60.7,78.82,60,0,3.0
358,1337613,Kulhudhuffushi,MV,6.6221,73.07,80.82,73,91,4.99
359,4179667,Americus,US,32.0724,-84.2327,44.73,100,100,8.05
360,3385670,Urucará,BR,-2.5364,-57.76,73.0,96,100,1.95
361,1161724,Chabahar,IR,25.2919,60.643,66.42,23,1,7.61
362,5563839,Fortuna,US,40.5982,-124.1573,50.99,96,100,0.0
363,2018735,Nyurba,RU,63.2842,118.3319,-28.43,99,31,3.04
364,3685823,Corozal,CO,9.3151,-75.2928,73.45,89,4,5.23
365,5888001,Atikokan,CA,48.7555,-91.6216,-4.43,98,100,2.53
366,3576994,Cockburn Town,TC,21.4612,-71.1419,78.51,69,0,13.91
